experiment_id	sra_accession	geo_accession	species	assembly	assay	antigen_class	target_reported	target_normalized	cell_type_class	cell_type	title	bed_threshold	bed_file_count	bed_url	source_url	retrieved_at_utc
SRX22320803	SRA1742611	GSM7874447	Rattus norvegicus	rn6	ChIP-seq	TFs and others	Ctcf	CTCF	Liver	Liver		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/rn6/eachData/bed05/SRX22320803.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX14474253	SRA1391328	GSM5956416	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Cultured cell lines		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX14474253.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX14474261	SRA1391328	GSM5956421	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Cultured cell lines		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX14474261.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX14474277	SRA1391328	GSM5956442	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Cultured cell lines		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX14474277.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX14474281	SRA1391328	GSM5956436	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Cultured cell lines		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX14474281.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX085404	SRA043749	GSM762842	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX085404.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX085405	SRA043749	GSM762843	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX085405.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX085406	SRA043749	GSM762844	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX085406.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX100250	SRA046918	GSM807543	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX100250.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX100251	SRA046918	GSM807544	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX100251.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX1021223	SRA266961	GSM1678105	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX1021223.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX252226	SRA069813	GSM1101656	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX252226.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX749039	SRA197268	GSM1535981	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX749039.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX749040	SRA197268	GSM1535982	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX749040.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX749041	SRA197268	GSM1535983	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX749041.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX016158	SRA010880	GSM499649	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	S2		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX016158.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX016160	SRA010880	GSM499651	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	S2		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX016160.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX191913	SRA059281	GSM1015410	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	S2		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX191913.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX191914	SRA059281	GSM1015411	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	S2		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX191914.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX2638363	SRA545564	GSM2536239	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	S2		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX2638363.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX2638364	SRA545564	GSM2536240	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	S2		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX2638364.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX11499361	SRA1261145	GSM5461678	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	0-14h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX11499361.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX11499362	SRA1261145	GSM5461679	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	0-14h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX11499362.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX11499363	SRA1261145	GSM5461680	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	0-14h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX11499363.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX11499364	SRA1261145	GSM5461681	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	0-14h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX11499364.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX11499365	SRA1261145	GSM5461682	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	0-14h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX11499365.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX11499366	SRA1261145	GSM5461683	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	0-14h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX11499366.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX11499367	SRA1261145	GSM5461684	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	0-14h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX11499367.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX11499368	SRA1261145	GSM5461685	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	0-14h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX11499368.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX287743	SRA082488	GSM1147255	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	14-16h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX287743.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX287744	SRA082488	GSM1147256	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	14-16h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX287744.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX474576	SRA141811	GSM1332689	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	5-13h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX474576.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX474577	SRA141811	GSM1332690	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	5-13h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX474577.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX474578	SRA141811	GSM1332691	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	5-13h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX474578.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX671941	SRA141811	GSM1467698	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	5-13h embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX671941.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX2010897	SRA451005	GSM2266306	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	Embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX2010897.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX6780074	SRA953115	GSM4048304	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Embryo	Embryos		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX6780074.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX7889132	SRA1053557	GSM4405389	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Larvae	Central Nervous System		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX7889132.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX7889133	SRA1053557	GSM4405390	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Larvae	Central Nervous System		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX7889133.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX7889134	SRA1053557	GSM4405391	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Larvae	Central Nervous System		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX7889134.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX7889135	SRA1053557	GSM4405392	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Larvae	Central Nervous System		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX7889135.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX7889142	SRA1053557	GSM4405388	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Larvae	Central Nervous System		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX7889142.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX9660889	SRA1053557	GSM4966396	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Larvae	Central Nervous System		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX9660889.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX9660890	SRA1053557	GSM4966397	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Larvae	Central Nervous System		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX9660890.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX645427	SRA174200	GSM1426265	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Larvae	Eye-antennal disc		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX645427.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX027388	SRA024374	GSM602326	unknown	dm3, dm6	ChIP-seq	TFs and others	CTCF	CTCF	Pupae	White prepupae		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/dm3, dm6/eachData/bed05/SRX027388.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX7807106	SRA1000304	GSM4340695	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipocytes		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX7807106.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX7807107	SRA1000304	GSM4340696	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipocytes		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX7807107.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX13551226	SRA1350129	GSM5764470	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX13551226.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX13551227	SRA1350129	GSM5764471	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX13551227.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX13551244	SRA1350129	GSM5764488	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX13551244.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX13551245	SRA1350129	GSM5764489	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX13551245.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX13551262	SRA1350129	GSM5764506	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX13551262.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX13551263	SRA1350129	GSM5764507	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX13551263.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX13551280	SRA1350129	GSM5764524	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX13551280.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX13551281	SRA1350129	GSM5764525	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX13551281.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304507	SRA1778365	GSM7031614	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304507.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304509	SRA1778365	GSM7031639	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304509.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304518	SRA1778365	GSM7031648	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304518.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304527	SRA1778365	GSM7031657	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304527.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304538	SRA1778365	GSM7031622	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304538.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304546	SRA1778365	GSM7031630	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304546.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304559	SRA1778365	GSM7031666	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304559.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304567	SRA1778365	GSM7031674	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304567.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304575	SRA1778365	GSM7031682	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304575.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304584	SRA1778365	GSM7031691	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304584.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304593	SRA1778365	GSM7031700	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304593.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304598	SRA1778365	GSM7031727	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304598.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304607	SRA1778365	GSM7031736	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304607.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304615	SRA1778365	GSM7031744	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304615.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304625	SRA1778365	GSM7031778	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304625.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304635	SRA1778365	GSM7031709	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304635.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304644	SRA1778365	GSM7031718	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304644.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304655	SRA1778365	GSM7031752	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304655.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304664	SRA1778365	GSM7031761	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304664.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX19304673	SRA1778365	GSM7031770	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stem cells		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX19304673.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX019498	SRA012529	GSM534471	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stromal cell		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX019498.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX019505	SRA012529	GSM534478	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stromal cell		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX019505.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX019512	SRA012529	GSM534485	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stromal cell		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX019512.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX019519	SRA012529	GSM534492	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Adipose stromal cell		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX019519.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX3321997	SRA623546	GSM2825406	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Colon, Transverse		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX3321997.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX3322609	SRA623958	GSM2827542	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Colon, Transverse		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX3322609.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX3322855	SRA624124	GSM2828689	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Colon, Transverse		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX3322855.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
SRX3322994	SRA624203	GSM2828900	unknown	hg19, hg38	ChIP-seq	TFs and others	CTCF	CTCF	Adipocyte	Colon, Transverse		q < 1e-5	1	https://chip-atlas.dbcls.jp/data/hg19, hg38/eachData/bed05/SRX3322994.05.bed	https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:09:37+00:00
